run_idx,exp_id,file,trial_idx_in_file,safe,duration_s,runtime_mean_ms,runtime_var_ms2,completed_flag
1,1,exp1-1_2025_11_17-1136.txt,1,1,24.600,8.277249,7.943553480,1
2,1,exp1-1_2025_11_17-1136.txt,2,1,25.950,8.847347,9.498188477,1
3,1,exp1-1_2025_11_17-1136.txt,3,0,27.550,8.833450,10.316852742,1
4,4,exp1-4_2025_11_17-1139.txt,1,1,24.800,9.454963,12.987842327,1
5,4,exp1-4_2025_11_17-1139.txt,2,1,25.300,9.170568,12.915457864,1
6,4,exp1-4_2025_11_17-1139.txt,3,1,24.900,9.329053,12.722861187,1
7,7,exp1-7_2025_11_17-1141.txt,1,1,24.550,9.447731,15.486348798,1
8,7,exp1-7_2025_11_17-1141.txt,2,1,25.000,9.739668,15.273968666,1
9,7,exp1-7_2025_11_17-1141.txt,3,1,26.150,9.826993,15.640022037,1
10,12,exp1-12_2025_11_17-1143.txt,1,1,24.700,9.875238,16.459909237,1
11,12,exp1-12_2025_11_17-1143.txt,2,1,25.000,9.329386,14.679355485,1
12,12,exp1-12_2025_11_17-1143.txt,3,1,25.150,9.034081,13.619729119,1
13,12,exp1-12_2025_11_17-1143.txt,4,1,24.350,9.455054,15.129814500,1
14,12,exp1-12_2025_11_17-1143.txt,5,1,29.150,9.514928,16.881826171,1
15,17,exp1-17_2025_11_17-1152.txt,1,1,25.300,9.748164,16.097892856,1
16,17,exp1-17_2025_11_17-1152.txt,2,0,25.800,9.703381,15.155122194,1
17,17,exp1-17_2025_11_17-1152.txt,3,1,25.700,9.714157,17.333462913,1
18,17,exp1-17_2025_11_17-1152.txt,4,1,25.650,9.591782,15.392182726,1
19,17,exp1-17_2025_11_17-1152.txt,5,1,24.750,10.400450,17.813700562,1
20,22,exp1-22_2025_11_17-1207.txt,1,1,26.200,9.683731,14.431399878,1
21,22,exp1-22_2025_11_17-1207.txt,2,1,30.100,9.665694,18.338073012,1
22,22,exp1-22_2025_11_17-1207.txt,3,1,24.900,9.730304,16.189233716,1
23,22,exp1-22_2025_11_17-1207.txt,4,1,27.050,9.247573,17.138758278,1
24,22,exp1-22_2025_11_17-1207.txt,5,0,28.400,9.803084,18.307930201,1
25,27,exp1-27_2025_11_17-1212.txt,1,1,25.200,9.727552,14.061907414,1
26,27,exp1-27_2025_11_17-1212.txt,2,1,25.800,10.121980,15.020652510,1
27,27,exp1-27_2025_11_17-1212.txt,3,1,24.050,10.267934,18.170843503,1
28,27,exp1-27_2025_11_17-1212.txt,4,1,25.950,9.823498,16.478221045,1
29,27,exp1-27_2025_11_17-1212.txt,5,1,26.500,10.131898,21.383304306,1
30,32,exp1-32_2025_11_17-1219.txt,1,0,28.000,9.662895,25.127825839,1
31,32,exp1-32_2025_11_17-1219.txt,2,1,27.150,9.561333,15.256881385,1
32,32,exp1-32_2025_11_17-1219.txt,3,1,26.900,10.263520,16.498421333,1
33,32,exp1-32_2025_11_17-1219.txt,4,1,25.000,9.887212,15.559426702,1
34,32,exp1-32_2025_11_17-1219.txt,5,0,30.400,9.971617,21.157523851,1
35,37,exp1-37_2025_11_17-1222.txt,1,1,25.100,9.863777,16.526988198,1
36,37,exp1-37_2025_11_17-1222.txt,2,1,25.500,9.467948,15.816807977,1
37,37,exp1-37_2025_11_17-1222.txt,3,1,24.550,9.737810,19.244494039,1
38,37,exp1-37_2025_11_17-1222.txt,4,1,26.150,10.435690,16.740531648,1
39,37,exp1-37_2025_11_17-1222.txt,5,1,26.150,9.837310,17.067596508,1
40,42,exp1-42_2025_11_17-1227.txt,1,1,25.500,9.407331,18.492984088,1
41,42,exp1-42_2025_11_17-1227.txt,2,1,27.050,10.296504,19.484683525,1
42,42,exp1-42_2025_11_17-1227.txt,3,1,25.450,9.831714,18.418443262,1
43,42,exp1-42_2025_11_17-1227.txt,4,1,29.050,9.834777,18.918985715,1
44,42,exp1-42_2025_11_17-1227.txt,5,1,28.600,9.544523,18.612838521,1
45,47,exp1-47_2025_11_17-1240.txt,1,0,28.450,9.172376,15.820685150,1
46,47,exp1-47_2025_11_17-1240.txt,2,1,27.950,9.485078,16.613335849,1
47,47,exp1-47_2025_11_17-1240.txt,3,1,25.300,9.395446,15.258402209,1
48,47,exp1-47_2025_11_17-1240.txt,4,1,25.300,9.184287,14.637332670,1
49,47,exp1-47_2025_11_17-1240.txt,5,0,31.000,9.562476,19.676664225,1
50,52,exp1-52_2025_11_17-1243.txt,1,1,24.900,9.527902,13.385058095,1
